Cell,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Perimeter
1,398,1.324964558,0.540701429,0.473246136,0.477736971,28.07473222,29.83286778,8.485281374,3.08357427,2.828427125,24.08273034,23.61687399,102.318
2,356,1.17518432,0.808534449,0.693957115,0.743063569,28.17251838,28.23118843,8.062257748,3.342867041,3,16.7600716,16.57808593,77.592
3,333,1.014355494,0.442028179,0.756818182,0.900255086,21.87737995,21.84032967,9.848857802,3.686651453,3.16227766,18.38477631,19.62403529,68.178
4,319,1.194070727,0.794148867,0.533444816,0.565722355,26.66000467,26.41968963,7.810249676,3.117143979,2.828427125,16.97056275,16.20190532,84.178
5,624,1.164830932,0.798046361,0.631578947,0.618908269,36.86861837,37.33630941,10.19803903,4.181096267,3.802775638,23.62082342,22.21688398,112.56
6,627,1.023057179,0.533123156,0.746428571,0.864095251,30.87989404,31.06444913,13,4.821026466,4.242640687,25.45584412,26.1255529,95.49
7,768,1.056110638,0.58266844,0.715750233,0.748376801,35.28397674,37.10795063,13.34166406,5.060518091,4.472135955,28,28.67563954,113.56
8,384,1.025531293,0.474274631,0.731428571,0.806529863,23.80979044,24.69817807,9.899494937,3.825519499,3.16227766,19.92234926,20.96159069,77.35
9,764,1.073423221,0.713500802,0.707407407,0.80591191,37.44097842,37.69615365,13.03840481,5.101143299,4.472135955,25.89628636,26.23318675,109.146
10,405,1.122628595,0.768166754,0.648,0.785563023,28.69505619,28.8444102,9.219544457,3.734032228,3.16227766,17.67766953,18.37200471,80.49
11,762,1.604790398,0.930504386,0.622040816,0.548348667,52.38196533,50,9.848857802,4.031830484,4,19.21938124,19.18650548,132.146
12,556,1.11149599,0.685708661,0.588359788,0.690930121,32.10040605,34.23448554,11.3137085,4.140555913,3.605551275,22.65483126,23.3651187,100.56
13,549,1.461399715,0.885434043,0.544642857,0.588004898,41.00145405,40,9.219544457,3.61714649,3.16227766,19.62805439,19.05604304,108.318
14,244,1.036711147,0.281065606,0.675900277,0.744435941,18.3628871,18.97366596,8,3.080519962,2.828427125,16.86676628,17.62265261,64.178
15,377,1.123924768,0.759008423,0.754,0.735083182,27.56894743,29.20616373,9.055385138,3.548088926,3,18.02498266,17.94961248,80.28
16,484,1.501411349,0.913574229,0.64021164,0.475679408,39.86319213,42.20189569,8,3.362066744,3,16.90648022,16.21124471,113.076
17,572,1.212470452,0.813609135,0.700980392,0.657065943,36.35174905,33.54101966,10,4.035055916,3.605551275,20.35075993,21.13535128,104.592
18,965,1.180687946,0.764381019,0.651147099,0.686532456,45.26738028,48.08326112,13.92838828,5.169387226,5,30.40559159,29.18681374,132.904
19,416,1.191770237,0.759786778,0.594285714,0.545383912,29.82448198,28.7923601,7.810249676,3.271732187,3,20.52390726,19.39105278,97.904
20,511,1.115415158,0.576793574,0.681333333,0.616287668,29.53442569,30.8058436,9.433981132,3.708360969,3.16227766,24,24.12637521,102.076
21,961,1.095909712,0.681351905,0.63182117,0.648537732,41.79123289,44.41846463,14.4222051,5.28520965,5,30.78586089,30.58934353,136.458
22,659,1.344176742,0.862995001,0.553781513,0.624593653,42.39931113,43.8634244,10.44030651,4.067871019,3.605551275,22.627417,21.42066018,115.146
23,550,1.212616168,0.765279325,0.679012346,0.614240268,34.6763003,36.87817783,10,3.850928949,3.605551275,23.42432985,22.32107699,106.076
24,981,1.60855491,0.917944259,0.545606229,0.496779142,58.89031386,60.08327554,11.18033989,4.467085438,4,23.53695467,23.36234032,157.528
25,602,1.279722696,0.843460073,0.578846154,0.648885358,39.03433979,39.45883931,9.848857802,3.937368448,3.605551275,20.55480479,20.96893001,107.974
