gene_symbol,log2FoldChange,pvalue
Kcp,0.17955623,0.445061274
Cdc42ep4,-0.049278958,0.99999707
Cfap46,-0.009073464,0.99999707
Sil1,-0.116847276,0.823765899
Pde2a,0.099852209,0.99999707
Itgb4,-0.038696451,0.99999707
Skor1,0.04127351,0.99999707
Mir7060,-0.014609619,0.99999707
Uqcrfs1,0.023427587,0.99999707
Gm29808,-0.020990641,0.99999707
Gm22935,-0.022109548,0.99999707
Glo1,0.015697365,0.99999707
Pnp2,-0.078335774,0.99999707
Gcnt1,-0.011529364,0.99999707
Vav2,0.08224981,0.99999707
Igfbp5,0.005520636,0.99999707
Rgs7,-0.034769374,0.99999707
Gm15749,-0.018580127,0.99999707
Trim17,-0.133135419,0.99999707
Plpp7,0.108213184,0.824644169
Poglut1,-0.112565812,0.56115029
Gm9578,-0.010109111,0.99999707
Mtrf1,-0.113220124,0.99999707
Lgals3bp,-0.004109947,0.99999707
Stag1,0.048377713,0.99999707
Gm44168,-0.068706503,0.99999707
Hspa12a,0.037490976,0.99999707
Amotl1,-1.02,2.16E-24
Galnt7,-0.062021068,0.99999707
Lxn,0.06275196,0.99999707
Gm13203,0.271426044,0.135935635
Usp15,0.032467852,0.99999707
Hspa9,-0.048958039,0.99999707
Gvin1,0.008321002,0.99999707
Ripk4,-0.073559634,0.99999707
Cmtm6,0.05182381,0.99999707
Tirap,0.038164836,0.99999707
Abcg1,0.026210056,0.99999707
Slc18a1,-0.035813383,0.99999707
Bex4,-0.058640471,0.99999707
Zfp365,-0.072933435,0.99999707
Cenpm,-0.049220909,0.99999707
Etv5,-0.027879815,0.99999707
Hyls1,-0.101965918,0.99999707
Pdcd11,-0.082029304,0.99999707
Rslcan18,0.058152769,0.99999707
Arhgef28,-0.02278243,0.99999707
Bet1,-0.009267592,0.99999707
Nek2,-0.218248965,0.075623666
H2-Oa,-0.014285406,0.99999707
Gm10059,-0.135976047,0.58938451
Mif,0.003971867,0.99999707
Nipal4,-0.069034903,0.99999707
Zfp703,0.034841741,0.99999707
Hid1,0.042460755,0.99999707
Gm4734,0.100943943,0.99999707
Gm8488,-0.286595423,0.037235928
Bloc1s2-ps,-0.055532046,0.99999707
Plbd1,-0.011450194,0.99999707
Gm43053,0.070829742,0.99999707
Larp1,-0.083142488,0.99999707
Tbc1d10a,-0.064064417,0.99999707
Tatdn3,-0.00543686,0.99999707
Gm7493,-0.050682765,0.99999707
Fbxo3,-0.040479993,0.99999707
